Key,en,es,ar,fr,hi
no History Yet,No History Yet,Aún no hay historia,لا يوجد تاريخ بعد,"Entrez le code de vérification que nous vous envoyons dans votre e-mail, pour réinitialiser votre mot de passe.",अभी तक कोई इतिहास नहीं
verification Code,Verification Code,Código de verificación,رمز التحقق,Renvoyer le code,सत्यापन कोड
oTP Verification SubTitle,"Enter the verification code which one we send you in your email, to reset your password.","Ingresa el código de verificación que te enviamos a tu correo electrónico, para restablecer tu contraseña.",أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني لإعادة تعيين كلمة المرور الخاصة بك.,Réinitialiser le mot de passe,अपना पासवर्ड रीसेट करने के लिए वह सत्यापन कोड दर्ज करें जो हम आपको आपके ईमेल पर भेजते हैं।
resend Code,Resend Code,Reenviar código,إعادة إرسال الرمز,Félicitations!!,पुन: कोड भेजे
reset Password,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Votre mot de passe a été réinitialisé avec succès !,पासवर्ड रीसेट
congratulations,Congratulations!!,¡¡Felicidades!!,مبروك!!,Votre compte a été vérifié avec succès,बधाई हो!!
password Rest Successfully,Your password has been reset successfully!,¡Su contraseña se ha restablecido exitosamente!,لقد تم إعادة تعيين كلمة المرور الخاصة بك بنجاح!,Votre don a été envoyé avec succès !,आपका पासवर्ड सफलतापूर्वक रीसेट कर दिया गया है!
account Verified Successfully,Your account has been verified successfully,Su cuenta ha sido verificada exitosamente,لقد تم التحقق من حسابك بنجاح,D'accord,आपका खाता सफलतापूर्वक सत्यापित हो गया है
donation Successfully,Your donation has been send successfully!,¡Tu donación se ha enviado correctamente!,لقد تم إرسال تبرعك بنجاح!,S'inscrire,आपका दान सफलतापूर्वक भेज दिया गया है!
okay,Okay,Bueno,تمام,Inscrivez-vous maintenant,ठीक है
sign Up,Sign Up,Inscribirse,اشتراك,Informations d'inscription,साइन अप करें
sign Up Now,Sign Up Now,Regístrate ahora,سجل الآن,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.,अभी साइनअप करें
register Information,Registration Information,Información de registro,معلومات التسجيل,Prénom,पंजीकरण सूचना
input Your Details,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Nom de famille,कृपया अपने विवरण दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में पंजीकरण करें।
first Name,First Name,Nombre de pila,الاسم الأول,J'ai lu d'accord avec le,पहला नाम
last Name,Last Name,Apellido,اسم العائلة,Politique de confidentialité et avertissement,उपनाम
agree,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,&,मैंने इससे सहमत होकर पढ़ा है
privacy,Privacy Policy& Warning,Política de privacidad y advertencia,سياسة الخصوصية والتحذير,Vérification par e-mail,गोपनीयता नीति एवं चेतावनी
and,&,&,&,"Entrez le code de vérification que nous vous envoyons dans votre e-mail, pour vérifier votre compte.",&
email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني,Se déconnecter,ईमेल सत्यापन
email Verification SubTitle,"Enter the verification code which one we send you in your email, to verified your account.","Ingresa el código de verificación que te enviamos a tu correo electrónico, para verificar tu cuenta.",أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني للتحقق من حسابك.,"En Inde, vous pouvez donner aux pauvres... de l'eau potable et de la nourriture",अपना खाता सत्यापित करने के लिए वह सत्यापन कोड दर्ज करें जो हम आपको आपके ईमेल पर भेजते हैं।
sign Out,Sign Out,Desconectar,تسجيل الخروج,Les sans-abri en Afrique,साइन आउट
give Poor In India,You Can Give Poor In India... Clean Water & Food,Puedes dar a los pobres de la India... agua potable y alimentos,يمكنك التبرع للفقراء في الهند... المياه النظيفة والغذاء,Ce que disent les gens,आप भारत में गरीबों को साफ पानी और भोजन दे सकते हैं
homeless People In Africa,Homeless People In Africa,Personas sin hogar en África,المشردون في أفريقيا,RASALINA WILLAMS,अफ़्रीका में बेघर लोग
what People Say,What People Say,Lo que dice la gente,ما يقوله الناس,J'apprécie vos services incroyables et votre personnel professionnel pour tout votre travail acharné et votre pensée créative ! C'était génial et j'espère retravailler avec vous bientôt.,लोग क्या कहते हैं
rasalina Willams,RASALINA WILLAMS,RASALINA WILLAMS,راسالينا ويليامز,Détails de la campagne,रसालिना विलियम्स
people Say,"I appreciate your amazing services and professional staff for all your hard work and creative thinking! It was fub, and I hope to work with you again soon.",¡Aprecio sus increíbles servicios y personal profesional por todo su arduo trabajo y pensamiento creativo! Fue fantástico y espero volver a trabajar contigo pronto.,أنا أقدر خدماتك الرائعة وموظفيك المحترفين على كل ما تبذلونه من عمل شاق وتفكير إبداعي! لقد كان الأمر رائعًا، وآمل أن أعمل معك مرة أخرى قريبًا.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus \n\nNous avons couvert de nombreux événements spéciaux tels que des feux d'artifice, des foires, des défilés, des courses, des promenades, des cérémonies de remise de prix, des défilés de mode, des événements sportifs et même un service commémoratif.\n\nLorem ipsum dolor sit amet, consectetur élite adipeuse. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Énéen conséquat pulvinar luctus. Suspendisse consectetur tristique tortor","मैं आपकी कड़ी मेहनत और रचनात्मक सोच के लिए आपकी अद्भुत सेवाओं और पेशेवर कर्मचारियों की सराहना करता हूं! यह शानदार था, और मुझे उम्मीद है कि मैं जल्द ही आपके साथ फिर से काम करूंगा।"
campaign Details,Campaign Details,Detalles de la campaña,تفاصيل الحملة,"Nous avons couvert de nombreux événements spéciaux tels que des feux d'artifice, des foires, des défilés, des courses, des promenades, des cérémonies de remise de prix, des défilés de mode, des événements sportifs et même un service commémoratif.",अभियान विवरण
lorem,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus \n\nWe have covered many special events such as fireworks, fairs, parades, races, walks, awards ceremonies, fashion shows, sporting events, and even a memorial service.\n\nLorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus. Suspendisse consectetur tristique tortor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus \n\nHemos cubierto muchos eventos especiales como fuegos artificiales, ferias, desfiles, carreras, caminatas, ceremonias de premios, desfiles de moda, eventos deportivos e incluso un servicio conmemorativo.\n\nLorem ipsum dolor sit amet, consectetur élite adipiscente. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Enean consequat pulvinar luctus. Suspendisse consectetur tristique tortor","لوريم إيبسوم دولور سيت أميت، consectetur adipiscing إيليت. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean consequat pulvinar luctus \n\nلقد قمنا بتغطية العديد من الأحداث الخاصة مثل الألعاب النارية، والمعارض، والمسيرات، والسباقات، والمشي، وحفلات توزيع الجوائز، وعروض الأزياء، والأحداث الرياضية، وحتى حفل تأبيني.\n\nLorem ipsum dolor sit amet, consectetur النخبة adipiscing. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean يترتب على pulvinar luctus. Suspendisse consectetur tristique tortor",Notre défi et notre objectif,"लोरेम इप्सम डोलर सिट अमेट, कंसेक्टेचर एडिपिसिंग एलीट। क्यूरबिटूर वल्पुटेट वेस्टिबुलम फासेलस रोन्कस, डोलर एगेट विवेरा प्रीटियम, डोलर टेलस एलिकेट नंक, विटे अल्ट्रासीज एराट एलीट ईयू लैकस। वेस्टिबुलम नॉन जस्टो कंसेक्टेचर, कर्सस एंटे, टिनसिडंट सेपियन। नुल्ला क्विस डायम सिट अमेट टरपिस इंटरडम एक्यूमसन क्विस नेक एनिम। विवामस फौसीबस एक्स सेड निभ एगस्टास एलिमेंटम। मौरिस एट बिबेंडम डुई। एनियन कॉन्सक्वेट पुल्विनर लैक्टस \n\nहमने आतिशबाजी, मेले, परेड, दौड़, सैर, पुरस्कार समारोह, फैशन शो, खेल आयोजन और यहां तक ​​​​कि एक स्मारक सेवा जैसे कई विशेष कार्यक्रमों को कवर किया है।\n\nलोरेम इप्सम डोलर सिट अमेट, कंसेक्टेचर वसायुक्त अभिजात वर्ग। क्यूरबिटूर वल्पुटेट वेस्टिबुलम फासेलस रोन्कस, डोलर एगेट विवेरा प्रीटियम, डोलर टेलस एलिकेट नंक, विटे अल्ट्रासीज एराट एलीट ईयू लैकस। वेस्टिबुलम नॉन जस्टो कंसेक्टेचर, कर्सस एंटे, टिनसिडंट सेपियन। नुल्ला क्विस डायम सिट अमेट टरपिस इंटरडम एक्यूमसन क्विस नेक एनिम। विवामस फौसीबस एक्स सेड निभ एगस्टास एलिमेंटम। मौरिस एट बिबेंडम डुई। एनीन कॉन्सक्वेट पुल्विनर लक्टस। सस्पेंडिस्से कंसेक्टेचर ट्रिस्टिक टॉर्टर"
campaign Detail,"We have covered many special events such as fireworks, fairs, parades, races, walks, awards ceremonies, fashion shows, sporting events, and even a memorial service.","Hemos cubierto muchos eventos especiales como fuegos artificiales, ferias, desfiles, carreras, caminatas, ceremonias de premios, desfiles de moda, eventos deportivos e incluso un servicio conmemorativo.",لقد قمنا بتغطية العديد من الأحداث الخاصة مثل الألعاب النارية، والمعارض، والمسيرات، والسباقات، والمشي، وحفلات توزيع الجوائز، وعروض الأزياء، والأحداث الرياضية، وحتى حفل تأبين.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctusNous avons couvert de nombreux événements spéciaux tels que des feux d'artifice, des foires, des défilés, des courses, des promenades, des cérémonies de remise de prix, des défilés de mode, des événements sportifs et même un service commémoratif.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Énéen conséquat pulvinar luctus. Suspendisse consectetur tristique tortor","हमने आतिशबाजी, मेले, परेड, दौड़, सैर, पुरस्कार समारोह, फैशन शो, खेल आयोजन और यहां तक ​​कि एक स्मारक सेवा जैसे कई विशेष आयोजनों को कवर किया है।"
our Challenge And Goal,Our Challenge & Goal,Nuestro desafío y objetivo,التحدي والهدف لدينا,Description de la campagne,हमारी चुनौती और लक्ष्य
our Challenge And Goal Details,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctusWe have covered many special events such as fireworks, fairs, parades, races, walks, awards ceremonies, fashion shows, sporting events, and even a memorial service.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus. Suspendisse consectetur tristique tortor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus Hemos cubierto muchos eventos especiales como fuegos artificiales, ferias, desfiles, carreras, caminatas, ceremonias de premiación, desfiles de moda, eventos deportivos e incluso un servicio conmemorativo. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Enean consequat pulvinar luctus. Suspendisse consectetur tristique tortor",لوريم إيبسوم دولور سيت أميت، consectetur adipiscing إيليت. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean consequat pulvinar luctusلقد قمنا بتغطية العديد من الأحداث الخاصة مثل الألعاب النارية والمعارض والمسيرات والسباقات والمشي وحفلات توزيع الجوائز وعروض الأزياء والأحداث الرياضية وحتى الخدمة التذكارية.Lorem ipsum dolor sit amet، consectetur adipiscing elit. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean يترتب على pulvinar luctus. Suspendisse consectetur tristique tortor,Sélectionnez le montant,"लोरेम इप्सम डोलर सिट अमेट, कंसेक्टेचर एडिपिसिंग एलीट। क्यूरबिटूर वल्पुटेट वेस्टिबुलम फासेलस रोन्कस, डोलर एगेट विवेरा प्रीटियम, डोलर टेलस एलिकेट नंक, विटे अल्ट्रासीज एराट एलीट ईयू लैकस। वेस्टिबुलम नॉन जस्टो कंसेक्टेचर, कर्सस एंटे, टिनसिडंट सेपियन। नुल्ला क्विस डायम सिट अमेट टरपिस इंटरडम एक्यूमसन क्विस नेक एनिम। विवामस फौसीबस एक्स सेड निभ एगस्टास एलिमेंटम। मौरिस एट बिबेंडम डुई। एनियन कॉन्सक्वेट पुल्विनर लेक्टसहमने आतिशबाजी, मेले, परेड, दौड़, सैर, पुरस्कार समारोह, फैशन शो, खेल आयोजन और यहां तक ​​कि एक स्मारक सेवा जैसे कई विशेष कार्यक्रमों को कवर किया है। लोरेम इप्सम डोलर सिट अमेट, कंसेक्टेचर एडिपिसिंग एलीट। क्यूरबिटूर वल्पुटेट वेस्टिबुलम फासेलस रोन्कस, डोलर एगेट विवेरा प्रीटियम, डोलर टेलस एलिकेट नंक, विटे अल्ट्रासीज एराट एलीट ईयू लैकस। वेस्टिबुलम नॉन जस्टो कंसेक्टेचर, कर्सस एंटे, टिनसिडंट सेपियन। नुल्ला क्विस डायम सिट अमेट टरपिस इंटरडम एक्यूमसन क्विस नेक एनिम। विवामस फौसीबस एक्स सेड निभ एगस्टास एलिमेंटम। मौरिस एट बिबेंडम डुई। एनीन कॉन्सक्वेट पुल्विनर लक्टस। सस्पेंडिस्से कंसेक्टेचर ट्रिस्टिक टॉर्टर"
campaign Description,Campaign Description,Descripción de la campaña,وصف الحملة,Entrez le montant,अभियान विवरण
select Amount,Select Amount,Seleccionar cantidad,حدد المبلغ,(Facultatif),राशि चुनें
enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ,Autre montant...,राशि डालें
optional,(Optional),(Opcional),(خياري),Faire un don mensuel,(वैकल्पिक)
other Amount,Other amount...,Otra cantidad...,مبلغ آخر...,Sélectionnez la passerelle,अन्य राशि...
monthly Donate,Monthly Donate,Donación mensual,التبرع الشهري,Paypal,मासिक दान करें
Select Gateway,Select Gateway,Seleccionar puerta de enlace,حدد البوابة,Visa/MasterCard,गेटवे चुनें
paypal,Paypal,PayPal,باي بال,Adresse email,Paypal
master Card,Visa / MasterCard,Visa/MasterCard,فيزا / ماستركارد,Numéro de carte,वीज़ा/मास्टरकार्ड
email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Entrez le numéro de la carte,मेल पता
card Number,Card Number,Número de tarjeta,رقم البطاقة,Date d'expiration,कार्ड संख्या
enter Card Number,Enter card number,Introduce el número de tarjeta,أدخل رقم البطاقة,CVC/CVV,कार्ड नंबर दर्ज करें
expiry Date,Expiry Date,Fecha de vencimiento,تاريخ انتهاء الصلاحية,Entrer,समाप्ति तिथि
cvc,CVC/CVV,CVC/CVV,كفك/كفف,MM/AAAA,सीवीसी/सीवीवी
enter,Enter,Ingresar,يدخل,Cris Ronaldo,प्रवेश करना
date Formate,MM/YYYY,MM/AAAA,مم/سسسس,crironaldo@gmail.com,MM/YYYY
users,Crish Ronaldo,cris ronaldo,كراش رونالدو,politique de confidentialité,क्रिश रोनाल्डो
user Gmail,crisronaldo@gmail.com,crisronaldo@gmail.com,Crisronaldo@gmail.com,"Conditions d'utilisation,",crisronaldo@gmail.com
privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية,Faire un don d'histoire,गोपनीयता नीति
terms Off Use,"Terms of Use,","Condiciones de uso,",شروط الاستخدام،,Détails de l'événement,"उपयोग की शर्तें,"
donate History,Donate History,Historial de donaciones,تبرع بالتاريخ,Profil,इतिहास दान करें
events Details,Event Details,Detalles del evento,تفاصيل الحدث,Modifier le profil,घटना विवरण
profile,Profile,Perfil,حساب تعريفي,Collectez un don pour l'école et l'hôpital du Soudan,प्रोफ़ाइल
edit Profile,Edit Profile,Editar perfil,تحرير الملف الشخصي,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.,प्रोफ़ाइल संपादित करें
collect Donation,Collect Donation For Sudan's School & Hospital,Recaude donaciones para la escuela y el hospital de Sudán,جمع التبرعات لمدرسة ومستشفى السودان,"Aidez les pauvres, donnez de la nourriture et prenez soin d’un enfant africain",सूडान के स्कूल और अस्पताल के लिए दान एकत्र करें
we Help,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Charité,कृपया अपने विवरण दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में पंजीकरण करें।
help Poor People,"Help Poor People, Give Food & Caring African Child","Ayude a los pobres, brinde alimentos y cuide a los niños africanos",ساعد الفقراء، وقدم الطعام ورعاية الطفل الأفريقي,Donation,"गरीब लोगों की मदद करें, भोजन दें और अफ़्रीकी बच्चे की देखभाल करें"
charity,Charity,Caridad,صدقة,Trousse médicale et d'aide,दान
donation,Donation,Donación,هبة,Nourriture et eau,दान
medical Aid Kit,Medical & Aid Kit,Botiquín médico y de ayuda,طقم طبي ومساعدات,Aider les sans-abri,चिकित्सा एवं सहायता किट
food And Water,Food and Water,Comida y agua,الغذاء والماء,Éducation,भोजन और पानी
help Homeless People,Help Homeless People,Ayudar a las personas sin hogar,مساعدة المشردين,Santé,बेघर लोगों की मदद करें
education,Education,Educación,تعليم,"Il existe de nombreuses variantes de passages du Lorem Ipsum, mais la majorité ont subi une altération ou un mot aléatoire. Mais la majorité a subi une altération ou un mot aléatoire.",शिक्षा
health,Health,Salud,صحة,Les étudiants prennent l'initiative d'aider les enfants,स्वास्थ्य
variations,"There are many variations of passages of Lorem Ipsum, but the majority have suffered alteration,or randomised word.but the majority have suffered alteration,or randomised word.but the majority have suffered alteration,or randomised word","Hay muchas variaciones de pasajes de Lorem Ipsum, pero la mayoría ha sufrido alteración o palabra aleatoria. pero la mayoría ha sufrido alteración o palabra aleatoria. pero la mayoría ha sufrido alteración o palabra aleatoria",هناك العديد من الاختلافات لنصوص لوريم إيبسوم، لكن الأغلبية تعرضت للتعديل، أو الكلمة العشوائية. لكن الأغلبية تعرضت للتعديل، أو الكلمة العشوائية. لكن الأغلبية تعرضت للتعديل، أو الكلمة العشوائية,Ce qu'il faut savoir sur la crise alimentaire,"लोरेम इप्सम के अंशों के कई रूप हैं, लेकिन अधिकांश को परिवर्तन, या यादृच्छिक शब्द का सामना करना पड़ा है। लेकिन अधिकांश को परिवर्तन, या यादृच्छिक शब्द का सामना करना पड़ा है। लेकिन अधिकांश को परिवर्तन, या यादृच्छिक शब्द का सामना करना पड़ा है"
students Take,Students take the initiative to help children,Los estudiantes toman la iniciativa para ayudar a los niños.,يأخذ الطلاب زمام المبادرة لمساعدة الأطفال,La bonne ligne directrice pour faire un don pour les sans-abri,बच्चों की मदद के लिए छात्र आगे आएं
food Crisis,What you need to know about the food crisis,Lo que necesitas saber sobre la crisis alimentaria,ما تحتاج لمعرفته حول أزمة الغذاء,Merci de nous faire un don. Nous apprécions vraiment votre don.,खाद्य संकट के बारे में आपको क्या जानने की आवश्यकता है
the Right Guideline,The right guideline to donate for homeless people,La pauta correcta para donar para personas sin hogar,المبدأ التوجيهي الصحيح للتبرع للمشردين,À propos de nous,बेघर लोगों के लिए दान करने का सही दिशानिर्देश
thanks For Donate,Thanks for Donate us. We are really appreciate your Donation.,Gracias por donarnos. Realmente apreciamos su donación.,شكرا للتبرع لنا. نحن نقدر حقًا تبرعك.,Ancien mot de passe,हमें दान देने के लिए धन्यवाद. हम वास्तव में आपके दान की सराहना करते हैं।
about US,About US,Sobre nosotros,معلومات عنا,Entrez l'ancien mot de passe,हमारे बारे में
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,Entrez un nouveau mot de passe,पुराना पासवर्ड
enter Old Password,Enter Old Password,Ingrese la contraseña anterior,أدخل كلمة المرور القديمة,Entrez Confirmer le mot de passe,पुराना पासवर्ड डालें
enter New Password,Enter New Password,Ingrese una nueva contraseña,أدخل كلمة المرور الجديدة,Sauvegarder,नया पासवर्ड दर्ज करें
enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور,Nom du titulaire de la carte,पासवर्ड की पुष्टि करें दर्ज करें
save,Save,Ahorrar,يحفظ,Payez maintenant,बचाना
card Holder Name,Card Holder Name,Nombre del titular de la tarjeta,اسم حامل البطاقة,Ce que disent les gens,कार्डधारक का नाम
pay Now,Pay Now,Paga ahora,ادفع الآن,Voir plus,अब भुगतान करें
whay People Say,What People Say,Lo que dice la gente,ما يقوله الناس,Continuer en tant qu'invité,लोग क्या कहते हैं
view More,View More,Ver más,عرض المزيد,Vous n'avez pas de compte ?,और देखें
continue As A Guest,Continue as a Guest,Continuar como invitado,الاستمرار كضيف,Renvoyer le code dans,अतिथि के रूप में जारी रखें
dont Have An Accoun,Don’t Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Nom,क्या आपके पास खाता नहीं है?
resend Code In,Resend Code in,Reenviar código en,إعادة إرسال الرمز في,Téléphone,कोड पुनः भेजें
label Name,Name,Nombre,اسم,e-mail,नाम
label Phone,Phone,Teléfono,هاتف,E-mail,फ़ोन
field Email,email,correo electrónico,بريد إلكتروني,Qu'avons-nous fait avec votre aide,ईमेल
label Email,Email,Correo electrónico,بريد إلكتروني,10,ईमेल
what Have,What have we done with your help,¿Qué hemos hecho con tu ayuda?,ماذا فعلنا بمساعدتكم,20,आपकी मदद से हमने क्या किया है
ten,10,10,10,Gérer toutes les activités de notre fondation,10
twenty,20,20,20,"Vestibulum ante ipsum primis dans faucibus orci luctus et ultrices posuere cubilia Curae ; Donec velit neque, auctor sit amet aliquam vel, ullamcorper sit amet ligula. Curabitur arcu erat, accumsan id imperdiet et, porttitor at sem. Masse sapien présente.",20
manage,Manage all activities from our foundation,Gestionar todas las actividades desde nuestra fundación.,إدارة جميع الأنشطة من مؤسستنا,Ajouter des détails financiers pour,हमारे फाउंडेशन से सभी गतिविधियों का प्रबंधन करें
vestibulum,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec velit neque, auctor sit amet aliquam vel, ullamcorper sit amet ligula. Curabitur arcu erat, accumsan id imperdiet et, porttitor at sem. Praesent sapien massa.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec velit neque, auctor sit amet aliquam vel, ullamcorper sit amet ligula. Curabitur arcu erat, accumsan id imperdiet et, porttitor at sem. Praesent masa sapiens.",الدهليز قبل ipsum primis في faucibus orci luctus et ultrices posuere cubilia Curae؛ Donec velit neque، auctor sit amet aliquam vel، ullamcorper sit amet ligula. لقد حان وقت العلاج، وهو أمر ضروري ومفيد، ومنفذ إلى حد ما. برايسينت سابين ماسا.,Informations linguistiques,"वेस्टिबुलम एंटे इप्सम प्राइमिस इन फौसीबस ऑर्सी लक्टस एट अल्ट्रिसेस पोसुएरे क्यूबिलिया क्यूरे; डोनेक वेलिट नेक, ऑक्टर सिट अमेट एलिक्वम वेल, उल्लमकॉर्पर सिट अमेट लिगुला। क्यूरबिटूर आर्कू एराट, एक्यूमसन आईडी इम्पर्डिएट एट, पोर्टिटर एट सेम। प्रेजेंट सेपियन मस्सा."
